,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Señorita,Shawn Mendes,5736898,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,Dance Monkey,Tones and I,4469612,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,Circles,Post Malone,4386008,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,Lalala,Y2K,3450976,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
5,China,Anuel AA,3421555,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
6,Ransom,Lil Tecca,3338069,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
7,Goodbyes (Feat. Young Thug),Post Malone,3119490,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
8,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,3071712,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
9,Beautiful People (feat. Khalid),Ed Sheeran,3052735,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
10,Someone You Loved,Lewis Capaldi,3014619,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,bad guy,Billie Eilish,2830826,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
12,Saint-Tropez,Post Malone,2783741,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
13,How Do You Sleep?,Sam Smith,2676149,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
14,I Don't Care (with Justin Bieber),Ed Sheeran,2623581,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
15,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2504718,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
16,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,2500499,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
17,Old Town Road - Remix,Lil Nas X,2346902,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
18,Callaita,Bad Bunny,2308312,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
19,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,2293742,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
20,Panini,Lil Nas X,2286910,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
21,Truth Hurts,Lizzo,2091096,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
22,LA CANCIÓN,J Balvin,2089509,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
23,"Yo x Ti, Tu x Mi",ROSALÍA,2079350,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
24,No Me Conoce - Remix,Jhay Cortez,2050266,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
25,Enemies (feat. DaBaby),Post Malone,2038724,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
26,Tutu,Camilo,2008389,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
27,Liar,Camila Cabello,1948816,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
28,Hollywood's Bleeding,Post Malone,1926622,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
29,Adicto (with Anuel AA & Ozuna),Tainy,1900704,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
30,boyfriend (with Social House),Ariana Grande,1863379,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
31,No Guidance (feat. Drake),Chris Brown,1826080,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
32,Memories,Maroon 5,1768259,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
33,Otro Trago - Remix,Sech,1723202,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
34,Piece Of Your Heart,MEDUZA,1719534,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
35,Money In The Grave (Drake ft. Rick Ross),Drake,1700539,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
36,Soltera - Remix,Lunay,1678594,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
37,Higher Love,Kygo,1609228,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
38,hot girl bummer,blackbear,1576948,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
39,Lover,Taylor Swift,1545367,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
40,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,1499797,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
41,It's You,Ali Gatie,1484201,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
42,Die For Me (feat. Future & Halsey),Post Malone,1479065,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
43,110,Capital Bra,1473729,https://open.spotify.com/track/5sdQ7VUx6GOfsRoSxnK1YG
44,Graveyard,Halsey,1462423,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
45,Takeaway,The Chainsmokers,1456747,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
46,The London (feat. J. Cole & Travis Scott),Young Thug,1439790,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
47,QUE PRETENDES,J Balvin,1437363,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
